id,title,old_filename,file_name,volume,year
983312,Black Narcissus,983312.pdf,Black Narcissus.pdf,Vol1,1969
33674,Black Nile,033674.pdf,Black Nile.pdf,Vol1,1964
957173,Black Orpheus,957173.pdf,Black Orpheus.pdf,Vol1,1968
81809,Blackberry Winter,081809.pdf,Blackberry Winter.pdf,Vol3,1976
81993,Blame It On My Youth,081993.pdf,Blame It On My Youth.pdf,Vol2,1934
84710,Bloomdido,084710.pdf,Bloomdido.pdf,Vol2,1953
41430,Blow Mr. Dexter,041430.pdf,Blow Mr. Dexter.pdf,Vol2,1946
87582,Blue 'N Boogie,087582.pdf,Blue 'N Boogie.pdf,Vol2,1944
985280,Blue Bird,985280.pdf,Blue Bird.pdf,Vol3,1948
983314,Blue Bossa,983314.pdf,Blue Bossa.pdf,Vol1,1965
86400,Blue Champagne,086400.pdf,Blue Champagne.pdf,Vol3,1941
87426,Blue In Green,087426.pdf,Blue In Green.pdf,Vol1,1959
956891,Blue Monk,956891.pdf,Blue Monk.pdf,Vol1,1962
87597,Blue Prelude,087597.pdf,Blue Prelude.pdf,Vol3,1933
9815,Blue Serge,009815.pdf,Blue Serge.pdf,Vol2,1944
41774,Blue Seven,041774.pdf,Blue Seven.pdf,Vol2,1965
54957,Blue Silver,054957.pdf,Blue Silver.pdf,Vol2,1967
88160,Blue Skies,088160.pdf,Blue Skies.pdf,Vol2,1927
88555,Blue Train (Blue Trane),088555.pdf,Blue Train Blue Trane.pdf,Vol1,1957
9417,Blues By Five,009417.pdf,Blues By Five.pdf,Vol2,1965
983122,Blues For Alice,983122.pdf,Blues For Alice.pdf,Vol1,1956
58831,Blues For Wood,058831.pdf,Blues For Wood.pdf,Vol2,1981
89480,Blues In The Closet,089480.pdf,Blues In The Closet.pdf,Vol2,1955
89620,Blues March,089620.pdf,Blues March.pdf,Vol2,1958
89870,Bluesette,089870.pdf,Bluesette.pdf,Vol1,1963
90630,Body And Soul,090630.pdf,Body And Soul.pdf,Vol1,1930
55941,Bohemia After Dark,055941.pdf,Bohemia After Dark.pdf,Vol2,1955
983424,Bolivia,983424.pdf,Bolivia.pdf,Vol3,1975
91919,Booker's Waltz,091919.pdf,Booker's Waltz.pdf,Vol2,1960
983190,Boplicity (Be Bop Lives),983190.pdf,Boplicity Be Bop Lives.pdf,Vol1,1949
92410,Born To Be Blue,092410.pdf,Born To Be Blue.pdf,Vol3,1946
12321,Bossa Antigua,012321.pdf,Bossa Antigua.pdf,Vol3,1965
983319,Bouncing With Bud,983319.pdf,Bouncing With Bud.pdf,Vol2,1947
96330,Brazil,096330.pdf,Brazil.pdf,Vol3,1941
96800,Breakin' Away,096800.pdf,Breakin' Away.pdf,Vol3,1981
97600,Brian's Song,097600.pdf,Brian's Song.pdf,Vol2,1972
54992,Bright Boy,054992.pdf,Bright Boy.pdf,Vol2,1999
27405,Bright Size Life,027405.pdf,Bright Size Life.pdf,Vol1,1975
17892,Brilliant Corners,017892.pdf,Brilliant Corners.pdf,Vol2,1958
59319,Broad Way Blues,059319.pdf,Broad Way Blues.pdf,Vol1,1968
99440,Broadway,099440.pdf,Broadway.pdf,Vol1,1940
10153,Bud Powell,010153.pdf,Bud Powell.pdf,Vol3,1980
100930,Budo,100930.pdf,Budo.pdf,Vol2,1956
54993,Bunko,054993.pdf,Bunko.pdf,Vol2,1955
54348,Buster Rides Again,054348.pdf,Buster Rides Again.pdf,Vol2,1958
104950,But Beautiful,104950.pdf,But Beautiful.pdf,Vol1,1947
30822,Butterfly,030822.pdf,Butterfly.pdf,Vol1,1974
106670,Buzzy,106670.pdf,Buzzy.pdf,Vol3,1947
107600,By Myself,107600.pdf,By Myself.pdf,Vol3,1937
108410,Bye Bye Baby,108410.pdf,Bye Bye Baby.pdf,Vol3,1949
109060,Bye Bye Blackbird,109060.pdf,Bye Bye Blackbird.pdf,Vol2,1926
108600,Byrd Like,108600.pdf,Byrd Like.pdf,Vol1,1961
72770,Bésame Mucho (Kiss Me Much),072770.pdf,Bésame Mucho Kiss Me Much.pdf,Vol3,1941
110580,C'est Si Bon (It's So Good),110580.pdf,C'est Si Bon It's So Good.pdf,Vol1,1947
988044,C-Jam Blues,988044.pdf,C-Jam Blues.pdf,Vol2,1942
111300,Caldonia (What Makes Your Big Head So Hard?),111300.pdf,Caldonia What Makes Your Big Head So Hard.pdf,Vol3,1945
112680,Call Me Irresponsible,112680.pdf,Call Me Irresponsible.pdf,Vol1,1962
112290,Call Me,112290.pdf,Call Me.pdf,Vol1,1965
116850,Can't Help Lovin' Dat Man,116850.pdf,Can't Help Lovin' Dat Man.pdf,Vol1,1927
118230,Candy,118230.pdf,Candy.pdf,Vol2,1944
18373,Cantelope Island,018373.pdf,Cantelope Island.pdf,Vol2,
10155,Captain Marvel,010155.pdf,Captain Marvel.pdf,Vol1,1972
119200,Caravan,119200.pdf,Caravan.pdf,Vol2,1937
119625,Careful,119625.pdf,Careful.pdf,Vol3,1960
30615,Cariba,030615.pdf,Cariba.pdf,Vol3,1965
122700,Cast Your Fate To The Wind,122700.pdf,Cast Your Fate To The Wind.pdf,Vol2,1961
12930,Celia,012930.pdf,Celia.pdf,Vol3,1977
124155,Central Park West,124155.pdf,Central Park West.pdf,Vol1,1977
30120,Ceora,030120.pdf,Ceora.pdf,Vol1,1965
124480,Chameleon,124480.pdf,Chameleon.pdf,Vol2,1973
125500,Change Partners,125500.pdf,Change Partners.pdf,Vol3,1937
128421,Chasin' The Trane,128421.pdf,Chasin' The Trane.pdf,Vol2,1977
129200,Cheek To Cheek,129200.pdf,Cheek To Cheek.pdf,Vol3,1935
129490,Cheesecake,129490.pdf,Cheesecake.pdf,Vol2,1962
55465,Cheetah,055465.pdf,Cheetah.pdf,Vol3,1957
