id	file_name	title	title_playlist	playlist	composer	year	year_truncated	tonality	tune_key	tune_mode	structure	num_bars	time_signature	cycle_fifths_order	style	musicbrainz_id	wikidata_id	wikidata_allmusic	wiki_link	wikidata_description	lyricist
11	dataset/jazz1350/A Fine Romance.xml	A Fine Romance	A Fine Romance [jazz1350]	jazz1350	Jerome Kern	1936.0	1936.0	C major	C	major	ABAC	32.0	4/4	0.0	Medium Swing	609a42a8-24fb-3bfd-a815-e333e7f7f4f4	Q4656767	mc0002453528	https://en.wikipedia.org/wiki/A_Fine_Romance_(song)	"original song composed by Jerome Kern, lyrics by Dorothy Fields; from the 1936 film ""Swing Time"""	Dorothy Fields
12	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	A Flower Is A Lovesome Thing	A Flower Is A Lovesome Thing [jazz1350]	jazz1350	Billy Strayhorn	1941.0	1941.0	C# major	C#	major	AABA	32.0	4/4	-5.0	Ballad	3ba23cab-2bc8-359e-a846-14d63b1919c2					
13	dataset/jazz1350/A Foggy Day.xml	A Foggy Day	A Foggy Day [jazz1350]	jazz1350	George Gershwin	1937.0	1937.0	F major	F	major	ABAC	34.0	4/4	-1.0	Medium Swing	f2d4ab2e-9ea6-338f-8343-f0c557d4cb6b	Q300410	mc0002450407	https://en.wikipedia.org/wiki/A_Foggy_Day	"original song written and composed by George and Ira Gershwin; from the 1937 film ""A Damsel in Distress"""	Ira Gershwin
14	dataset/jazz1350/A Ghost Of A Chance.xml	A Ghost Of A Chance	A Ghost Of A Chance [jazz1350]	jazz1350	Victor Young	1932.0	1932.0	C major	C	major	AABA	32.0	4/4	0.0	Ballad	ade9c30c-faf5-3219-aa4a-6631d39deea7	Q5976963	mc0002675613	https://en.wikipedia.org/wiki/I_Don%27t_Stand_a_Ghost_of_a_Chance_with_You	original song composed by composed by Victor Young, lyrics written by Ned Washington and Bing Crosby; first recorded by Bing Crosby	Bing Crosby, Ned Washington
15	dataset/jazz1350/A Kiss To Build A Dream On.xml	A Kiss To Build A Dream On	A Kiss To Build A Dream On [jazz1350]	jazz1350	Harry Ruby	1935.0	1935.0	C major	C	major	AABA	32.0	4/4	0.0	Medium Swing	7f8d6a17-e13b-328a-8e30-0a9dc00e7e4b	Q4657597	mc0002490251	https://en.wikipedia.org/wiki/A_Kiss_to_Build_a_Dream_On	"song composed by Harry Ruby, lyrics by Bert Kalmar and Oscar Hammerstein II; from the 1951 movie ""The Strip"""	Bert Kalmar, Oscar Hammerstein II
16	dataset/jazz1350/A Little Tear.xml	A Little Tear	A Little Tear [jazz1350]	jazz1350	Deodato-Valle			C# major	C#	major	AB	32.0	4/4	-5.0	Bossa Nova						
17	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	A Lovely Way To Spend An Evening	A Lovely Way To Spend An Evening [jazz1350]	jazz1350	Jimmy McHugh	1943.0	1943.0	F major	F	major	AABA	32.0	4/4	-1.0	Ballad	1bbd3f8c-c44c-404f-bb9a-5536a7f7af1e	Q4657983	mc0002663070	https://en.wikipedia.org/wiki/A_Lovely_Way_to_Spend_an_Evening	"original song composed by Jimmy McHugh, lyrics by Harold Adamson; from the 1944 film ""Higher and Higher"""	Harold Adamson
18	dataset/jazz1350/A Night In Tunisia.xml	A Night In Tunisia	A Night In Tunisia [jazz1350]	jazz1350	Dizzy Gillespie	1944.0	1944.0	D minor	D	minor	AABAC	48.0	4/4	-1.0	Latin	aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e	Q300503		https://en.wikipedia.org/wiki/A_Night_in_Tunisia	song by Dizzy Gillespie	
18	dataset/jazz1350/A Night In Tunisia.xml	A Night In Tunisia	A Night In Tunisia [jazz1350]	jazz1350	Frank Paparelli	1944.0	1944.0	D minor	D	minor	AABAC	48.0	4/4	-1.0	Latin	aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e	Q300503		https://en.wikipedia.org/wiki/A_Night_in_Tunisia	song by Dizzy Gillespie	
19	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	A Nightingale Sang In Berkeley Square	A Nightingale Sang In Berkeley Square [jazz1350]	jazz1350	Manning Sherwin	1940.0	1940.0	Eb major	Eb	major	AABA	38.0	4/4	-3.0	Ballad	1b963c92-c5a6-39cf-a411-264eba69e9b5	Q4658646	mc0002390175	https://en.wikipedia.org/wiki/A_Nightingale_Sang_in_Berkeley_Square	original song composed by Manning Sherwin, lyrics by Eric Maschwitz	Eric Maschwitz
