id	file_name	composer	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality
10	dataset/jazz1350/A Felicidade.xml	Antonio Carlos Jobim	Bossa Nova	{'1': 'A', '9': 'A', '17': 'B', '33': 'C', '49': 'D'}	56.0	2.0	A Felicidade	dataset/jazz1350/A Felicidade.xml	1958.0	jazz1350	A Felicidade [jazz1350]	A	minor	4.0	4.0	0.0	1958.0	AABCD	4/4	A minor
11	dataset/jazz1350/A Fine Romance.xml	Jerome Kern	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	A Fine Romance	dataset/jazz1350/A Fine Romance.xml	1936.0	jazz1350	A Fine Romance [jazz1350]	C	major	4.0	4.0	0.0	1936.0	ABAC	4/4	C major
12	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	Billy Strayhorn	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Flower Is A Lovesome Thing	dataset/jazz1350/A Flower Is A Lovesome Thing.xml	1941.0	jazz1350	A Flower Is A Lovesome Thing [jazz1350]	C#	major	4.0	4.0	-5.0	1941.0	AABA	4/4	C# major
13	dataset/jazz1350/A Foggy Day.xml	George Gershwin	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	34.0	2.0	A Foggy Day	dataset/jazz1350/A Foggy Day.xml	1937.0	jazz1350	A Foggy Day [jazz1350]	F	major	4.0	4.0	-1.0	1937.0	ABAC	4/4	F major
14	dataset/jazz1350/A Ghost Of A Chance.xml	Victor Young	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Ghost Of A Chance	dataset/jazz1350/A Ghost Of A Chance.xml	1932.0	jazz1350	A Ghost Of A Chance [jazz1350]	C	major	4.0	4.0	0.0	1932.0	AABA	4/4	C major
15	dataset/jazz1350/A Kiss To Build A Dream On.xml	Kalmar-Ruby-Hammerstein	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Kiss To Build A Dream On	dataset/jazz1350/A Kiss To Build A Dream On.xml	1935.0	jazz1350	A Kiss To Build A Dream On [jazz1350]	C	major	4.0	4.0	0.0	1935.0	AABA	4/4	C major
16	dataset/jazz1350/A Little Tear.xml	Deodato-Valle	Bossa Nova	{'1': 'A', '17': 'B'}	32.0	2.0	A Little Tear	dataset/jazz1350/A Little Tear.xml		jazz1350	A Little Tear [jazz1350]	C#	major	4.0	4.0	-5.0		AB	4/4	C# major
17	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	Jimmy McHugh	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Lovely Way To Spend An Evening	dataset/jazz1350/A Lovely Way To Spend An Evening.xml	1943.0	jazz1350	A Lovely Way To Spend An Evening [jazz1350]	F	major	4.0	4.0	-1.0	1943.0	AABA	4/4	F major
18	dataset/jazz1350/A Night In Tunisia.xml	Dizzy Gillespie	Latin	{'1': 'A', '9': 'A', '17': 'B', '25': 'A', '33': 'C'}	48.0	2.0	A Night In Tunisia	dataset/jazz1350/A Night In Tunisia.xml	1944.0	jazz1350	A Night In Tunisia [jazz1350]	D	minor	4.0	4.0	-1.0	1944.0	AABAC	4/4	D minor
19	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	Manning Sherwin	Ballad	{'1': 'A', '11': 'A', '21': 'B', '29': 'A'}	38.0	3.0	A Nightingale Sang In Berkeley Square	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	1940.0	jazz1350	A Nightingale Sang In Berkeley Square [jazz1350]	Eb	major	4.0	4.0	-3.0	1940.0	AABA	4/4	Eb major
20	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	Irving Berlin	Medium Swing	{'1': 'A', '17': 'B'}	32.0	4.0	A Pretty Girl Is Like A Melody	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	1919.0	jazz1350	A Pretty Girl Is Like A Melody [jazz1350]	G	major	4.0	4.0	1.0	1919.0	AB	4/4	G major
21	dataset/jazz1350/A Sleepin' Bee.xml	Harold Arlen	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	36.0	4.0	A Sleepin' Bee	dataset/jazz1350/A Sleepin' Bee.xml	1954.0	jazz1350	A Sleepin' Bee [jazz1350]	Ab	major	4.0	4.0	-4.0	1954.0	ABAC	4/4	Ab major
22	dataset/jazz1350/A Smooth One.xml	Benny Goodman	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Smooth One	dataset/jazz1350/A Smooth One.xml		jazz1350	A Smooth One [jazz1350]	F	major	4.0	4.0	-1.0		AABA	4/4	F major
23	dataset/jazz1350/A Sound For Sore Ears.xml	Jimmy Heath	Even 8ths	{'1': 'A', '9': 'B', '17': 'C'}	24.0	2.0	A Sound For Sore Ears	dataset/jazz1350/A Sound For Sore Ears.xml		jazz1350	A Sound For Sore Ears [jazz1350]	Eb	major	4.0	4.0	-3.0		ABC	4/4	Eb major
24	dataset/jazz1350/A Sunday Kind Of Love.xml	Belle-Prima-Leonard-Rhodes	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Sunday Kind Of Love	dataset/jazz1350/A Sunday Kind Of Love.xml	1946.0	jazz1350	A Sunday Kind Of Love [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major
25	dataset/jazz1350/A Taste Of Honey.xml	Marlow-Scott	Waltz	{'1': 'A', '15': 'B'}	22.0	2.0	A Taste Of Honey	dataset/jazz1350/A Taste Of Honey.xml	1960.0	jazz1350	A Taste Of Honey [jazz1350]	D	minor	3.0	4.0	-1.0	1960.0	AB	3/4	D minor
26	dataset/jazz1350/A Time For Love.xml	Johnny Mandel	Ballad	{'1': 'A', '9': 'B', '17': 'C', '25': 'D'}	38.0	2.0	A Time For Love	dataset/jazz1350/A Time For Love.xml	1966.0	jazz1350	A Time For Love [jazz1350]	F	major	4.0	4.0	-1.0	1966.0	ABCD	4/4	F major
