id	file_name	composer	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality
372	dataset/jazz1350/Forest Flower.xml	Charles Lloyd	Bossa Nova	{'1': 'A', '17': 'A', '33': 'B'}	46.0	2.0	Forest Flower	dataset/jazz1350/Forest Flower.xml	1964.0	jazz1350	Forest Flower [jazz1350]	C	major	4.0	4.0	0.0	1964.0	AAB	4/4	C major
373	dataset/jazz1350/Forever Sonny.xml	Jimmy Heath	Bossa Nova	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Forever Sonny	dataset/jazz1350/Forever Sonny.xml		jazz1350	Forever Sonny [jazz1350]	Bb	major	4.0	4.0	-2.0		AABA	4/4	Bb major
374	dataset/jazz1350/Four Brothers.xml	Jimmy Giuffre	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Four Brothers	dataset/jazz1350/Four Brothers.xml	1948.0	jazz1350	Four Brothers [jazz1350]	Ab	major	4.0	4.0	-4.0	1948.0	AABA	4/4	Ab major
375	dataset/jazz1350/Four In One.xml	Thelonious Monk	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Four In One	dataset/jazz1350/Four In One.xml	1951.0	jazz1350	Four In One [jazz1350]	Eb	major	4.0	4.0	-3.0	1951.0	AABA	4/4	Eb major
376	dataset/jazz1350/Four On Six.xml	Wes Montgomery	Up Tempo Swing	{'1': 'A'}	16.0	2.0	Four On Six	dataset/jazz1350/Four On Six.xml	1960.0	jazz1350	Four On Six [jazz1350]	G	minor	4.0	4.0	-2.0	1960.0	A	4/4	G minor
377	dataset/jazz1350/Four.xml	Miles Davis	Up Tempo Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	Four	dataset/jazz1350/Four.xml	1963.0	jazz1350	Four [jazz1350]	Eb	major	4.0	4.0	-3.0	1963.0	ABAC	4/4	Eb major
378	dataset/jazz1350/Freckle Face.xml	Sammy Nestico	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'C'}	40.0	2.0	Freckle Face	dataset/jazz1350/Freckle Face.xml	1975.0	jazz1350	Freckle Face [jazz1350]	Bb	major	4.0	4.0	-2.0	1975.0	AABC	4/4	Bb major
379	dataset/jazz1350/Freddie Freeloader.xml	Miles Davis	Medium Swing	{'1': 'A', '13': 'A'}	24.0	1.0	Freddie Freeloader	dataset/jazz1350/Freddie Freeloader.xml	1959.0	jazz1350	Freddie Freeloader [jazz1350]	Bb	major	4.0	4.0	-2.0	1959.0	AA	4/4	Bb major
380	dataset/jazz1350/Freight Train.xml	Tommy Flanagan	Medium Up Swing	{'1': 'A'}	12.0	2.0	Freight Train	dataset/jazz1350/Freight Train.xml	1969.0	jazz1350	Freight Train [jazz1350]	Ab	major	4.0	4.0	-4.0	1969.0	A	4/4	Ab major
381	dataset/jazz1350/Frenesi.xml	Alberto Dominguez	Latin	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Frenesi	dataset/jazz1350/Frenesi.xml	1939.0	jazz1350	Frenesi [jazz1350]	Ab	major	4.0	4.0	-4.0	1939.0	AABA	4/4	Ab major
382	dataset/jazz1350/Friday The 13th.xml	Thelonious Monk	Medium Swing	{'1': 'A'}	8.0	2.0	Friday The 13th	dataset/jazz1350/Friday The 13th.xml	1953.0	jazz1350	Friday The 13th [jazz1350]	G	major	4.0	4.0	1.0	1953.0	A	4/4	G major
383	dataset/jazz1350/Frim Fram Sauce, The.xml	Joe Richardel	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Frim Fram Sauce, The	dataset/jazz1350/Frim Fram Sauce, The.xml	1946.0	jazz1350	Frim Fram Sauce, The [jazz1350]	Bb	major	4.0	4.0	-2.0	1946.0	AABA	4/4	Bb major
384	dataset/jazz1350/From This Moment On.xml	Cole Porter	Up Tempo Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'C'}	68.0	2.0	From This Moment On	dataset/jazz1350/From This Moment On.xml	1950.0	jazz1350	From This Moment On [jazz1350]	F	minor	4.0	4.0	-4.0	1950.0	AABC	4/4	F minor
385	dataset/jazz1350/Full House.xml	Wes Montgomery	Waltz	{'1': 'A', '17': 'A', '33': 'B', '41': 'A'}	56.0	1.0	Full House	dataset/jazz1350/Full House.xml	1965.0	jazz1350	Full House [jazz1350]	F	minor	3.0	4.0	-4.0	1965.0	AABA	3/4	F minor
386	dataset/jazz1350/Funk In Deep Freeze.xml	Hank Mobley	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Funk In Deep Freeze	dataset/jazz1350/Funk In Deep Freeze.xml	1957.0	jazz1350	Funk In Deep Freeze [jazz1350]	Ab	major	4.0	4.0	-4.0	1957.0	AABA	4/4	Ab major
387	dataset/jazz1350/Funkallero.xml	Bill Evans	Medium Up Swing	{'1': 'A'}	16.0	2.0	Funkallero	dataset/jazz1350/Funkallero.xml	1971.0	jazz1350	Funkallero [jazz1350]	C	minor	4.0	4.0	-3.0	1971.0	A	4/4	C minor
388	dataset/jazz1350/Gallop's Gallop.xml	Thelonious Monk	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Gallop's Gallop	dataset/jazz1350/Gallop's Gallop.xml	1955.0	jazz1350	Gallop's Gallop [jazz1350]	Ab	major	4.0	4.0	-4.0	1955.0	AABA	4/4	Ab major
389	dataset/jazz1350/Gary's Notebook.xml	Lee Morgan	Waltz	{'1': 'intro', '5': 'A', '17': 'B'}	28.0	1.0	Gary's Notebook	dataset/jazz1350/Gary's Notebook.xml	1964.0	jazz1350	Gary's Notebook [jazz1350]	C	minor	3.0	4.0	-3.0	1964.0	introAB	3/4	C minor
390	dataset/jazz1350/Gee Baby, Ain't I Good To You.xml	Don Redman	Slow Swing	{'1': 'A', '9': 'B'}	16.0	3.0	Gee Baby, Ain't I Good To You	dataset/jazz1350/Gee Baby, Ain't I Good To You.xml	1929.0	jazz1350	Gee Baby, Ain't I Good To You [jazz1350]	Eb	major	4.0	4.0	-3.0	1929.0	AB	4/4	Eb major
391	dataset/jazz1350/Gentle Rain, The.xml	Luiz Bonfa	Bossa Nova	{'1': 'A', '17': 'A'}	38.0	2.0	Gentle Rain, The	dataset/jazz1350/Gentle Rain, The.xml	1965.0	jazz1350	Gentle Rain, The [jazz1350]	A	minor	4.0	4.0	0.0	1965.0	AA	4/4	A minor
392	dataset/jazz1350/Gentle Wind And Falling Tear.xml	Gary Burton	Ballad	{'1': 'A', '17': 'A'}	32.0	3.0	Gentle Wind And Falling Tear	dataset/jazz1350/Gentle Wind And Falling Tear.xml		jazz1350	Gentle Wind And Falling Tear [jazz1350]	Ab	major	4.0	4.0	-4.0		AA	4/4	Ab major
393	dataset/jazz1350/Georgia On My Mind.xml	Hoagy Carmichael	Slow Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Georgia On My Mind	dataset/jazz1350/Georgia On My Mind.xml	1930.0	jazz1350	Georgia On My Mind [jazz1350]	F	major	4.0	4.0	-1.0	1930.0	AABA	4/4	F major
394	dataset/jazz1350/Get Happy.xml	Harold Arlen	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Get Happy	dataset/jazz1350/Get Happy.xml	1929.0	jazz1350	Get Happy [jazz1350]	F	major	4.0	4.0	-1.0	1929.0	AABA	4/4	F major
395	dataset/jazz1350/Get Out Of Town.xml	Cole Porter	Medium Swing	{'1': 'A', '17': 'B'}	32.0	2.0	Get Out Of Town	dataset/jazz1350/Get Out Of Town.xml	1938.0	jazz1350	Get Out Of Town [jazz1350]	Bb	major	4.0	4.0	-2.0	1938.0	AB	4/4	Bb major
396	dataset/jazz1350/Giant Steps.xml	John Coltrane	Up Tempo Swing	{'1': 'A'}	16.0	2.0	Giant Steps	dataset/jazz1350/Giant Steps.xml	1974.0	jazz1350	Giant Steps [jazz1350]	Eb	major	4.0	4.0	-3.0	1974.0	A	4/4	Eb major
397	dataset/jazz1350/Girl From Ipanema, The.xml	Antonio Carlos Jobim	Bossa Nova	{'1': 'A', '9': 'A', '17': 'B', '33': 'A'}	40.0	1.0	Girl From Ipanema, The	dataset/jazz1350/Girl From Ipanema, The.xml	1963.0	jazz1350	Girl From Ipanema, The [jazz1350]	F	major	4.0	4.0	-1.0	1963.0	AABA	4/4	F major
398	dataset/jazz1350/Girl Talk.xml	Neal Hefti	Slow Swing	{'1': 'A'}	12.0	4.0	Girl Talk	dataset/jazz1350/Girl Talk.xml	1965.0	jazz1350	Girl Talk [jazz1350]	F	major	4.0	4.0	-1.0	1965.0	A	4/4	F major
399	dataset/jazz1350/Give Me The Simple Life.xml	Rube Bloom	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Give Me The Simple Life	dataset/jazz1350/Give Me The Simple Life.xml	1946.0	jazz1350	Give Me The Simple Life [jazz1350]	Eb	major	4.0	4.0	-3.0	1946.0	AABA	4/4	Eb major
400	dataset/jazz1350/Glad To Be Unhappy.xml	Rodgers-Hart	Medium Swing	{'1': 'A', '9': 'B', '17': 'C'}	24.0	3.0	Glad To Be Unhappy	dataset/jazz1350/Glad To Be Unhappy.xml	1936.0	jazz1350	Glad To Be Unhappy [jazz1350]	F	major	4.0	4.0	-1.0	1936.0	ABC	4/4	F major
401	dataset/jazz1350/Gloria's Step.xml	Scott LaFaro	Medium Swing	{'1': 'A', '11': 'B'}	20.0	2.0	Gloria's Step	dataset/jazz1350/Gloria's Step.xml	1962.0	jazz1350	Gloria's Step [jazz1350]	F	major	4.0	4.0	-1.0	1962.0	AB	4/4	F major
402	dataset/jazz1350/Glory Of Love, The.xml	Billy Hill	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Glory Of Love, The	dataset/jazz1350/Glory Of Love, The.xml	1936.0	jazz1350	Glory Of Love, The [jazz1350]	G	major	4.0	4.0	1.0	1936.0	AABA	4/4	G major
403	dataset/jazz1350/God Bless The Child.xml	Herzog-Holiday	Ballad	{'1': 'A', '11': 'A', '21': 'B', '29': 'A'}	38.0	3.0	God Bless The Child	dataset/jazz1350/God Bless The Child.xml	1941.0	jazz1350	God Bless The Child [jazz1350]	Eb	major	4.0	4.0	-3.0	1941.0	AABA	4/4	Eb major
404	dataset/jazz1350/Godchild.xml	George Wallington	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Godchild	dataset/jazz1350/Godchild.xml		jazz1350	Godchild [jazz1350]	Ab	major	4.0	4.0	-4.0		AABA	4/4	Ab major
405	dataset/jazz1350/Golden Earring.xml	Jay Livingston	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Golden Earring	dataset/jazz1350/Golden Earring.xml	1947.0	jazz1350	Golden Earring [jazz1350]	C	minor	4.0	4.0	-3.0	1947.0	AABA	4/4	C minor
406	dataset/jazz1350/Gone With The Wind.xml	Allie Wrubel	Medium Swing	{'1': 'A', '17': 'B'}	32.0	2.0	Gone With The Wind	dataset/jazz1350/Gone With The Wind.xml	1937.0	jazz1350	Gone With The Wind [jazz1350]	Eb	major	4.0	4.0	-3.0	1937.0	AB	4/4	Eb major
407	dataset/jazz1350/Good Bait.xml	Tadd Dameron	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	Good Bait	dataset/jazz1350/Good Bait.xml	1944.0	jazz1350	Good Bait [jazz1350]	Bb	major	4.0	4.0	-2.0	1944.0	AABA	4/4	Bb major
408	dataset/jazz1350/Good Life, The.xml	Sacha Distel	Ballad	{'1': 'A', '17': 'B'}	32.0	2.0	Good Life, The	dataset/jazz1350/Good Life, The.xml	1962.0	jazz1350	Good Life, The [jazz1350]	Ab	major	4.0	4.0	-4.0	1962.0	AB	4/4	Ab major
409	dataset/jazz1350/Good Morning Heartache.xml	Drake-Fisher-Higginbotham	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Good Morning Heartache	dataset/jazz1350/Good Morning Heartache.xml	1945.0	jazz1350	Good Morning Heartache [jazz1350]	C	minor	4.0	4.0	-3.0	1945.0	AABA	4/4	C minor
410	dataset/jazz1350/Goodbye Pork Pie Hat.xml	Charles Mingus	Ballad	{'1': 'A', '13': 'B', '25': 'B', '37': 'C'}	50.0	3.0	Goodbye Pork Pie Hat	dataset/jazz1350/Goodbye Pork Pie Hat.xml	1959.0	jazz1350	Goodbye Pork Pie Hat [jazz1350]	Eb	major	4.0	4.0	-3.0	1959.0	ABBC	4/4	Eb major
411	dataset/jazz1350/Goodbye.xml	Gordon Jenkins	Ballad	{'1': 'A', '13': 'A', '25': 'B'}	32.0	2.0	Goodbye	dataset/jazz1350/Goodbye.xml	1935.0	jazz1350	Goodbye [jazz1350]	C	major	4.0	4.0	0.0	1935.0	AAB	4/4	C major
412	dataset/jazz1350/Got A Match.xml	Chick Corea	Up Tempo Swing	{'1': 'A'}	16.0	2.0	Got A Match	dataset/jazz1350/Got A Match.xml	1986.0	jazz1350	Got A Match [jazz1350]	D	minor	4.0	4.0	-1.0	1986.0	A	4/4	D minor
413	dataset/jazz1350/Grand Central.xml	John Coltrane	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	36.0	2.0	Grand Central	dataset/jazz1350/Grand Central.xml	1977.0	jazz1350	Grand Central [jazz1350]	Bb	minor	4.0	4.0	-5.0	1977.0	AABA	4/4	Bb minor
414	dataset/jazz1350/Gravy Waltz, The.xml	Ray Brown	Waltz	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Gravy Waltz, The	dataset/jazz1350/Gravy Waltz, The.xml	1962.0	jazz1350	Gravy Waltz, The [jazz1350]	C	major	3.0	4.0	0.0	1962.0	AABA	3/4	C major
415	dataset/jazz1350/Green Chimneys.xml	Thelonious Monk	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Green Chimneys	dataset/jazz1350/Green Chimneys.xml	1966.0	jazz1350	Green Chimneys [jazz1350]	Ab	minor	4.0	4.0	5.0	1966.0	AABA	4/4	Ab minor
416	dataset/jazz1350/Gregory Is Here.xml	Horace Silver	Bossa Nova	{'1': 'A', '17': 'A', '33': 'B', '41': 'A'}	56.0	2.0	Gregory Is Here	dataset/jazz1350/Gregory Is Here.xml	1972.0	jazz1350	Gregory Is Here [jazz1350]	Bb	major	4.0	4.0	-2.0	1972.0	AABA	4/4	Bb major
417	dataset/jazz1350/Groovin' High.xml	Dizzy Gillespie	Up Tempo Swing	{'1': 'A', '17': 'A'}	32.0	2.0	Groovin' High	dataset/jazz1350/Groovin' High.xml	1944.0	jazz1350	Groovin' High [jazz1350]	Eb	major	4.0	4.0	-3.0	1944.0	AA	4/4	Eb major
418	dataset/jazz1350/Hackensack.xml	Thelonious Monk	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Hackensack	dataset/jazz1350/Hackensack.xml	1978.0	jazz1350	Hackensack [jazz1350]	F	major	4.0	4.0	-1.0	1978.0	AABA	4/4	F major
419	dataset/jazz1350/Half Nelson.xml	Miles Davis	Up Tempo Swing	{'1': 'A'}	16.0	2.0	Half Nelson	dataset/jazz1350/Half Nelson.xml	1948.0	jazz1350	Half Nelson [jazz1350]	C	major	4.0	4.0	0.0	1948.0	A	4/4	C major
420	dataset/jazz1350/Hallelujah I Just Love Him So.xml	Ray Charles	Medium Swing	{'1': 'A', '13': 'A', '25': 'B', '33': 'A'}	44.0	3.0	Hallelujah I Just Love Him So	dataset/jazz1350/Hallelujah I Just Love Him So.xml	1956.0	jazz1350	Hallelujah I Just Love Him So [jazz1350]	Bb	major	4.0	4.0	-2.0	1956.0	AABA	4/4	Bb major
421	dataset/jazz1350/Hallucinations.xml	Bud Powell	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A', '33': 'C'}	38.0	2.0	Hallucinations	dataset/jazz1350/Hallucinations.xml	1965.0	jazz1350	Hallucinations [jazz1350]	F	major	4.0	4.0	-1.0	1965.0	AABAC	4/4	F major
422	dataset/jazz1350/Happiness Is A Thing Called Joe.xml	Harold Arlen	Medium Swing	{'1': 'intro', '10': 'A', '18': 'B', '26': 'A', '34': 'C'}	45.0	2.0	Happiness Is A Thing Called Joe	dataset/jazz1350/Happiness Is A Thing Called Joe.xml	1943.0	jazz1350	Happiness Is A Thing Called Joe [jazz1350]	C	major	4.0	4.0	0.0	1943.0	introABAC	4/4	C major
423	dataset/jazz1350/Happy Little Sunbeam.xml	Russ Freeman	Up Tempo Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	Happy Little Sunbeam	dataset/jazz1350/Happy Little Sunbeam.xml	1952.0	jazz1350	Happy Little Sunbeam [jazz1350]	F	major	4.0	4.0	-1.0	1952.0	ABAC	4/4	F major
424	dataset/jazz1350/Haunted Heart.xml	Arthur Schwartz	Ballad	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	36.0	2.0	Haunted Heart	dataset/jazz1350/Haunted Heart.xml	1948.0	jazz1350	Haunted Heart [jazz1350]	Eb	major	4.0	4.0	-3.0	1948.0	ABAC	4/4	Eb major
425	dataset/jazz1350/Have You Met Miss Jones.xml	Richard Rodgers	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Have You Met Miss Jones	dataset/jazz1350/Have You Met Miss Jones.xml	1937.0	jazz1350	Have You Met Miss Jones [jazz1350]	F	major	4.0	4.0	-1.0	1937.0	AABA	4/4	F major
426	dataset/jazz1350/He's A Tramp.xml	Lee-Burke	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	He's A Tramp	dataset/jazz1350/He's A Tramp.xml		jazz1350	He's A Tramp [jazz1350]	F	major	4.0	4.0	-1.0		AABA	4/4	F major
427	dataset/jazz1350/Heart And Soul.xml	Hoagy Carmichael	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	34.0	3.0	Heart And Soul	dataset/jazz1350/Heart And Soul.xml	1938.0	jazz1350	Heart And Soul [jazz1350]	F	major	4.0	4.0	-1.0	1938.0	AABA	4/4	F major
428	dataset/jazz1350/Heatwave.xml	Irving Berlin	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Heatwave	dataset/jazz1350/Heatwave.xml	1933.0	jazz1350	Heatwave [jazz1350]	G	major	4.0	4.0	1.0	1933.0	AABA	4/4	G major
429	dataset/jazz1350/Hello Young Lovers.xml	Richard Rogers	Medium Up Swing	{'1': 'A', '17': 'A', '33': 'B', '49': 'C'}	72.0	2.0	Hello Young Lovers	dataset/jazz1350/Hello Young Lovers.xml	1951.0	jazz1350	Hello Young Lovers [jazz1350]	C	major	3.0	4.0	0.0	1951.0	AABC	3/4	C major
430	dataset/jazz1350/Hello.xml	Milt Jackson	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Hello	dataset/jazz1350/Hello.xml		jazz1350	Hello [jazz1350]	G	major	4.0	4.0	1.0		AABA	4/4	G major
431	dataset/jazz1350/Here's That Rainy Day.xml	Jimmy Van Heusen	Ballad	{'1': 'A', '17': 'B'}	32.0	2.0	Here's That Rainy Day	dataset/jazz1350/Here's That Rainy Day.xml	1949.0	jazz1350	Here's That Rainy Day [jazz1350]	G	major	4.0	4.0	1.0	1949.0	AB	4/4	G major
432	dataset/jazz1350/Here's To Life.xml	Artie Butler	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A', '33': 'C'}	52.0	2.0	Here's To Life	dataset/jazz1350/Here's To Life.xml	1992.0	jazz1350	Here's To Life [jazz1350]	Eb	minor	4.0	4.0	-6.0	1992.0	AABAC	4/4	Eb minor
433	dataset/jazz1350/Heyoke.xml	Kenny Wheeler	Waltz	{'1': 'A', '17': 'A'}	36.0	2.0	Heyoke	dataset/jazz1350/Heyoke.xml		jazz1350	Heyoke [jazz1350]	F	major	3.0	4.0	-1.0		AA	3/4	F major
434	dataset/jazz1350/High Fly.xml	Randy Weston	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	High Fly	dataset/jazz1350/High Fly.xml	1958.0	jazz1350	High Fly [jazz1350]	C	major	4.0	4.0	0.0	1958.0	AABA	4/4	C major
435	dataset/jazz1350/High Hopes.xml	Jimmy Van Heusen	Medium Swing	{'1': 'intro', '7': 'A', '15': 'B'}	34.0	2.0	High Hopes	dataset/jazz1350/High Hopes.xml	1959.0	jazz1350	High Hopes [jazz1350]	F	major	4.0	4.0	-1.0	1959.0	introAB	4/4	F major
436	dataset/jazz1350/Hocus-Pocus.xml	Lee Morgan	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	Hocus-Pocus	dataset/jazz1350/Hocus-Pocus.xml	1964.0	jazz1350	Hocus-Pocus [jazz1350]	F	major	4.0	4.0	-1.0	1964.0	AABA	4/4	F major
437	dataset/jazz1350/Home At Last.xml	Hank Mobley	Bossa Nova	{'1': 'A', '17': 'A', '29': 'B'}	38.0	2.0	Home At Last	dataset/jazz1350/Home At Last.xml		jazz1350	Home At Last [jazz1350]	Bb	major	4.0	4.0	-2.0		AAB	4/4	Bb major
438	dataset/jazz1350/Home Cookin'.xml	Horace Silver	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Home Cookin'	dataset/jazz1350/Home Cookin'.xml		jazz1350	Home Cookin' [jazz1350]	F	major	4.0	4.0	-1.0		AABA	4/4	F major
439	dataset/jazz1350/Honeysuckle Rose.xml	Fats Waller	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	Honeysuckle Rose	dataset/jazz1350/Honeysuckle Rose.xml	1929.0	jazz1350	Honeysuckle Rose [jazz1350]	F	major	4.0	4.0	-1.0	1929.0	AABA	4/4	F major
440	dataset/jazz1350/Horace-Scope.xml	Horace Silver	Medium Swing	{'1': 'A', '17': 'A'}	35.0	2.0	Horace-Scope	dataset/jazz1350/Horace-Scope.xml	1956.0	jazz1350	Horace-Scope [jazz1350]	C#	major	4.0	4.0	-5.0	1956.0	AA	4/4	C# major
441	dataset/jazz1350/Hot House.xml	Tadd Dameron	Up Tempo Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	1.0	Hot House	dataset/jazz1350/Hot House.xml	1945.0	jazz1350	Hot House [jazz1350]	C	major	4.0	4.0	0.0	1945.0	AABA	4/4	C major
442	dataset/jazz1350/House Of Jade.xml	Wayne Shorter	Slow Swing	{'1': 'A', '9': 'B', '17': 'A'}	24.0	2.0	House Of Jade	dataset/jazz1350/House Of Jade.xml	1964.0	jazz1350	House Of Jade [jazz1350]	C	minor	4.0	4.0	-3.0	1964.0	ABA	4/4	C minor
443	dataset/jazz1350/How About You.xml	Burton Lane	Medium Swing	{'1': 'A', '17': 'B'}	32.0	2.0	How About You	dataset/jazz1350/How About You.xml	1941.0	jazz1350	How About You [jazz1350]	F	major	4.0	4.0	-1.0	1941.0	AB	4/4	F major
444	dataset/jazz1350/How Are Things In Glocca Morra.xml	Burton Lane	Ballad	{'1': 'A', '9': 'A', '19': 'B'}	30.0	3.0	How Are Things In Glocca Morra	dataset/jazz1350/How Are Things In Glocca Morra.xml	1946.0	jazz1350	How Are Things In Glocca Morra [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AAB	4/4	F major
445	dataset/jazz1350/How Deep Is The Ocean.xml	Irving Berlin	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	How Deep Is The Ocean	dataset/jazz1350/How Deep Is The Ocean.xml	1932.0	jazz1350	How Deep Is The Ocean [jazz1350]	Eb	major	4.0	4.0	-3.0	1932.0	ABAC	4/4	Eb major
446	dataset/jazz1350/How High The Moon.xml	Morgan Lewis	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	2.0	How High The Moon	dataset/jazz1350/How High The Moon.xml	1940.0	jazz1350	How High The Moon [jazz1350]	G	major	4.0	4.0	1.0	1940.0	ABAC	4/4	G major
447	dataset/jazz1350/How Insensitive.xml	Antonio Carlos Jobim	Bossa Nova	{'1': 'A', '17': 'B'}	32.0	2.0	How Insensitive	dataset/jazz1350/How Insensitive.xml	1963.0	jazz1350	How Insensitive [jazz1350]	D	minor	4.0	4.0	-1.0	1963.0	AB	4/4	D minor
448	dataset/jazz1350/How Little We Know.xml	Hoagy Carmichael	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '33': 'A', '41': 'C'}	49.0	2.0	How Little We Know	dataset/jazz1350/How Little We Know.xml	1944.0	jazz1350	How Little We Know [jazz1350]	Ab	major	4.0	4.0	-4.0	1944.0	AABAC	4/4	Ab major
449	dataset/jazz1350/How Long Has This Been Going On.xml	George Gershwin	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	How Long Has This Been Going On	dataset/jazz1350/How Long Has This Been Going On.xml	1928.0	jazz1350	How Long Has This Been Going On [jazz1350]	F	major	4.0	4.0	-1.0	1928.0	AABA	4/4	F major
450	dataset/jazz1350/How My Heart Sings.xml	Earl Zindars	Waltz	{'1': 'A', '9': 'B', '17': 'C', '25': 'A', '33': 'D'}	44.0	2.0	How My Heart Sings	dataset/jazz1350/How My Heart Sings.xml		jazz1350	How My Heart Sings [jazz1350]	C	major	3.0	4.0	0.0		ABCAD	3/4	C major
451	dataset/jazz1350/Humpty Dumpty.xml	Chick Corea	Up Tempo Swing	{'1': 'A'}	18.0	1.0	Humpty Dumpty	dataset/jazz1350/Humpty Dumpty.xml	1978.0	jazz1350	Humpty Dumpty [jazz1350]	C	major	4.0	4.0	0.0	1978.0	A	4/4	C major
452	dataset/jazz1350/Hungaria.xml	Django Reinhardt	Medium Up Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	32.0	1.0	Hungaria	dataset/jazz1350/Hungaria.xml		jazz1350	Hungaria [jazz1350]	G	major	4.0	4.0	1.0		ABAC	4/4	G major
453	dataset/jazz1350/I Ain't Got Nobody.xml	Graham-Williams	Slow Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	I Ain't Got Nobody	dataset/jazz1350/I Ain't Got Nobody.xml	1915.0	jazz1350	I Ain't Got Nobody [jazz1350]	G	major	4.0	4.0	1.0	1915.0	AABA	4/4	G major
454	dataset/jazz1350/I Can't Believe...You're In Love....xml	Jimmy McHugh	Medium Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	I Can't Believe...You're In Love...	dataset/jazz1350/I Can't Believe...You're In Love....xml	1926.0	jazz1350	I Can't Believe...You're In Love... [jazz1350]	C	major	4.0	4.0	0.0	1926.0	AABA	4/4	C major
455	dataset/jazz1350/I Can't Get Started.xml	Vernon Duke	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	4.0	I Can't Get Started	dataset/jazz1350/I Can't Get Started.xml	1935.0	jazz1350	I Can't Get Started [jazz1350]	C	major	4.0	4.0	0.0	1935.0	AABA	4/4	C major
