id	file_name	style	sections	num_bars	max_num_chords_per_bar	title	file_path	year	playlist	title_playlist	tune_key	tune_mode	beats	beat_time	cycle_fifths_order	year_truncated	structure	time_signature	tonality	id	musicbrainz_id	musicbrainz_composer	musicbrainz_lyricist	musicbrainz_type	wikidata_id	wikidata_description	wikidata_allmusic	wiki_link	composer
18	dataset/jazz1350/A Night In Tunisia.xml	Latin	{'1': 'A', '9': 'A', '17': 'B', '25': 'A', '33': 'C'}	48.0	2.0	A Night In Tunisia	dataset/jazz1350/A Night In Tunisia.xml	1944.0	jazz1350	A Night In Tunisia [jazz1350]	D	minor	4.0	4.0	-1.0	1944.0	AABAC	4/4	D minor	18	aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e	['Dizzy Gillespie', 'Frank Paparelli']	[]	Song	Q300503	song by Dizzy Gillespie		https://en.wikipedia.org/wiki/A_Night_in_Tunisia	Dizzy Gillespie
18	dataset/jazz1350/A Night In Tunisia.xml	Latin	{'1': 'A', '9': 'A', '17': 'B', '25': 'A', '33': 'C'}	48.0	2.0	A Night In Tunisia	dataset/jazz1350/A Night In Tunisia.xml	1944.0	jazz1350	A Night In Tunisia [jazz1350]	D	minor	4.0	4.0	-1.0	1944.0	AABAC	4/4	D minor	18	aa7d6c10-c7a8-3eb5-b4b7-4de6a05d904e	['Dizzy Gillespie', 'Frank Paparelli']	[]	Song	Q300503	song by Dizzy Gillespie		https://en.wikipedia.org/wiki/A_Night_in_Tunisia	Frank Paparelli
19	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	Ballad	{'1': 'A', '11': 'A', '21': 'B', '29': 'A'}	38.0	3.0	A Nightingale Sang In Berkeley Square	dataset/jazz1350/A Nightingale Sang In Berkeley Square.xml	1940.0	jazz1350	A Nightingale Sang In Berkeley Square [jazz1350]	Eb	major	4.0	4.0	-3.0	1940.0	AABA	4/4	Eb major	19	1b963c92-c5a6-39cf-a411-264eba69e9b5	['Manning Sherwin']	['Eric Maschwitz']	Song	Q4658646	original song composed by Manning Sherwin, lyrics by Eric Maschwitz	mc0002390175	https://en.wikipedia.org/wiki/A_Nightingale_Sang_in_Berkeley_Square	Manning Sherwin
20	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	Medium Swing	{'1': 'A', '17': 'B'}	32.0	4.0	A Pretty Girl Is Like A Melody	dataset/jazz1350/A Pretty Girl Is Like A Melody.xml	1919.0	jazz1350	A Pretty Girl Is Like A Melody [jazz1350]	G	major	4.0	4.0	1.0	1919.0	AB	4/4	G major	20	bdf329ce-0d75-3519-afe6-8afb1f46e029	['Irving Berlin']	[]	Song					Irving Berlin
21	dataset/jazz1350/A Sleepin' Bee.xml	Medium Swing	{'1': 'A', '9': 'B', '17': 'A', '25': 'C'}	36.0	4.0	A Sleepin' Bee	dataset/jazz1350/A Sleepin' Bee.xml	1954.0	jazz1350	A Sleepin' Bee [jazz1350]	Ab	major	4.0	4.0	-4.0	1954.0	ABAC	4/4	Ab major	21	603c64a6-90cd-37ba-8fb7-277760b2123c	['Harold Arlen']	['Harold Arlen', 'Truman Capote']	Song	Q4659572	song		https://en.wikipedia.org/wiki/A_Sleepin%27_Bee	Harold Arlen
22	dataset/jazz1350/A Smooth One.xml	Medium Up Swing	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	2.0	A Smooth One	dataset/jazz1350/A Smooth One.xml		jazz1350	A Smooth One [jazz1350]	F	major	4.0	4.0	-1.0		AABA	4/4	F major	22	73c7797a-3a44-3a18-a787-6229e84fbfc1	['Benny Goodman']	[]	Song					Benny Goodman
23	dataset/jazz1350/A Sound For Sore Ears.xml	Even 8ths	{'1': 'A', '9': 'B', '17': 'C'}	24.0	2.0	A Sound For Sore Ears	dataset/jazz1350/A Sound For Sore Ears.xml		jazz1350	A Sound For Sore Ears [jazz1350]	Eb	major	4.0	4.0	-3.0		ABC	4/4	Eb major	23	57644516-7ec7-4fa1-888f-bf324f937ff8	['Jimmy Heath']	[]	Song					Jimmy Heath
24	dataset/jazz1350/A Sunday Kind Of Love.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Sunday Kind Of Love	dataset/jazz1350/A Sunday Kind Of Love.xml	1946.0	jazz1350	A Sunday Kind Of Love [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major	24	f06cea1b-d641-42e2-b399-2f092a9c53ea	['Anita Leonard', 'Barbara Belle', 'Louis Prima', 'Stan Rhodes']	[]	Song					Anita Leonard
24	dataset/jazz1350/A Sunday Kind Of Love.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Sunday Kind Of Love	dataset/jazz1350/A Sunday Kind Of Love.xml	1946.0	jazz1350	A Sunday Kind Of Love [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major	24	f06cea1b-d641-42e2-b399-2f092a9c53ea	['Anita Leonard', 'Barbara Belle', 'Louis Prima', 'Stan Rhodes']	[]	Song					Barbara Belle
24	dataset/jazz1350/A Sunday Kind Of Love.xml	Ballad	{'1': 'A', '9': 'A', '17': 'B', '25': 'A'}	32.0	3.0	A Sunday Kind Of Love	dataset/jazz1350/A Sunday Kind Of Love.xml	1946.0	jazz1350	A Sunday Kind Of Love [jazz1350]	F	major	4.0	4.0	-1.0	1946.0	AABA	4/4	F major	24	f06cea1b-d641-42e2-b399-2f092a9c53ea	['Anita Leonard', 'Barbara Belle', 'Louis Prima', 'Stan Rhodes']	[]	Song					Louis Prima
