index	file_name	title	composer	year
33	dataset/xml/Almost Like Being In Love.xml	Almost Like Being In Love	Frederick Loewe	1947.0
34	dataset/xml/Alone Together.xml	Alone Together	Arthur Schwartz	1932.0
1	dataset/xml/Always And Forever.xml	Always And Forever	Pat Metheny	
35	dataset/xml/Am I Blue.xml	Am I Blue	Harry Akst	1929.0
36	dataset/xml/And On The Third Day.xml	And On The Third Day	Michael Gibbs	
37	dataset/xml/And The Angels Sing.xml	And The Angels Sing	Ziggy Elman	1939.0
38	dataset/xml/Anything Goes.xml	Anything Goes	Cole Porter	1934.0
39	dataset/xml/April.xml	April	Lennie Tristano	
40	dataset/xml/Armando's Rhumba.xml	Armando's Rhumba	Chick Corea	
41	dataset/xml/As Time Goes By.xml	As Time Goes By	Herman Hupfeld	1931.0
42	dataset/xml/At Last.xml	At Last	Harry Warren	1941.0
43	dataset/xml/Autumn Nocturne.xml	Autumn Nocturne	Gannon-Myrow	
44	dataset/xml/Backstage Sally.xml	Backstage Sally	Wayne Shorter	
45	dataset/xml/Balance, The.xml	Balance, The	Dave Holland	
46	dataset/xml/Ballade.xml	Ballade	Charlie Parker	
47	dataset/xml/Bat, The.xml	Bat, The	Pat Metheny	
48	dataset/xml/Baubles, Bangles and Beads.xml	Baubles, Bangles and Beads	Borodin-Wright-Forrest	1953.0
49	dataset/xml/Be My Love.xml	Be My Love	Nikolaus Brodszky	1950.0
50	dataset/xml/Beatrice.xml	Beatrice	Sam Rivers	1964.0
51	dataset/xml/Begin The Beguine.xml	Begin The Beguine	Cole Porter	1935.0
52	dataset/xml/Bemsha Swing.xml	Bemsha Swing	Thelonious Monk	1952.0
53	dataset/xml/Benny's Tune.xml	Benny's Tune	Lionel Loueke	
54	dataset/xml/Bess You Is My Woman.xml	Bess You Is My Woman	George Gershwin	1935.0
55	dataset/xml/Best Is Yet To Come (Page 1), The.xml	Best Is Yet To Come (Page 1), The	Cy Coleman	1959.0
56	dataset/xml/Best Is Yet To Come (Page 2), The.xml	Best Is Yet To Come (Page 2), The	Cy Coleman	1959.0
57	dataset/xml/Better Days Ahead.xml	Better Days Ahead	Pat Metheny	
58	dataset/xml/Better Git It In Your Soul.xml	Better Git It In Your Soul	Charles Mingus	
59	dataset/xml/Better Than Anything.xml	Better Than Anything	Loughborough-Wheat	1963.0
60	dataset/xml/Bidin' My Time.xml	Bidin' My Time	George Gershwin	
61	dataset/xml/Bill Bailey.xml	Bill Bailey	Traditional	1902.0
62	dataset/xml/Billy Boy.xml	Billy Boy	Traditional	
63	dataset/xml/Black And Blue.xml	Black And Blue	Fats Waller	1929.0
65	dataset/xml/Blood Count.xml	Blood Count	Billy Strayhorn	1967.0
66	dataset/xml/Blue (And Broken Hearted).xml	Blue (And Broken Hearted)	Leslie-Handman-Clarke	
67	dataset/xml/Blue And Sentimental.xml	Blue And Sentimental	Livingstone-David-Basie	1938.0
68	dataset/xml/Blue Daniel.xml	Blue Daniel	Frank Rosolino	
69	dataset/xml/Blue Lou.xml	Blue Lou	Irving Mills	1933.0
70	dataset/xml/Blue Moon.xml	Blue Moon	Richard Rodgers	1934.0
71	dataset/xml/Blue Sphere.xml	Blue Sphere	Thelonious Monk	1971.0
72	dataset/xml/Blue Turning Grey Over You.xml	Blue Turning Grey Over You	Fats Waller	1929.0
73	dataset/xml/Blueberry Hill.xml	Blueberry Hill	Lewis-Stock-Rose	1940.0
74	dataset/xml/Bluehawk.xml	Bluehawk	Thelonious Monk	1959.0
75	dataset/xml/Blues Five Spot.xml	Blues Five Spot	Thelonious Monk	
76	dataset/xml/Blues In The Night.xml	Blues In The Night	Harold Arlen	1941.0
77	dataset/xml/Boo Boo's Birthday.xml	Boo Boo's Birthday	Thelonious Monk	1967.0
78	dataset/xml/Bourbon Street Parade.xml	Bourbon Street Parade	Paul Barbarin	1949.0
79	dataset/xml/Boy Next Door, The.xml	Boy Next Door, The	Martin-Blane	1944.0
80	dataset/xml/Brazilian Like.xml	Brazilian Like	Michel Petrucciani	
81	dataset/xml/Brazilian Suite.xml	Brazilian Suite	Michel Petrucciani	
82	dataset/xml/Bright Mississippi.xml	Bright Mississippi	Thelonious Monk	
83	dataset/xml/Brother Can You Spare A Dime.xml	Brother Can You Spare A Dime	Yarburg-Gorney	1932.0
84	dataset/xml/Brotherhood Of Man.xml	Brotherhood Of Man	Frank Loesser	
85	dataset/xml/But Not For Me.xml	But Not For Me	George Gershwin	1930.0
86	dataset/xml/Butch And Butch.xml	Butch And Butch	Oliver Nelson	
87	dataset/xml/Butterfly Dreams.xml	Butterfly Dreams	Stanley Clarke	
88	dataset/xml/Bye Bye Blues.xml	Bye Bye Blues	Hamm-Bennett-Lown-Gray	1925.0
89	dataset/xml/Bye-Ya.xml	Bye-Ya	Thelonious Monk	
90	dataset/xml/C.T.A..xml	C.T.A.	Jimmy Heath	
91	dataset/xml/Cabin in the Sky.xml	Cabin in the Sky	Vernon Duke	1940.0
92	dataset/xml/Can't We Be Friends.xml	Can't We Be Friends	Swift-James	1929.0
93	dataset/xml/Cantaloupe Island.xml	Cantaloupe Island	Herbie Hancock	1964.0
94	dataset/xml/Catch Me.xml	Catch Me	Joe Pass	1963.0
95	dataset/xml/Charleston, The.xml	Charleston, The	James Johnson	1923.0
96	dataset/xml/Chase, The.xml	Chase, The	Dexter Gordon	1970.0
97	dataset/xml/Cheers.xml	Cheers	Howard McGhee	
98	dataset/xml/Chucho.xml	Chucho	Paquito D'Rivera	
